Fecha,Índice,Variaciones intermensuales MSE 2023,Combinación lineal óptima MSE 2023
01/02/2019,258.35104,0.17358065,2.274407386779785
01/03/2019,259.00323,0.2524495,2.3298165798187256
01/04/2019,259.52286,0.20062923,2.3416664600372314
01/05/2019,260.04837,0.2024889,2.3448803424835205
01/06/2019,260.62073,0.22009611,2.2803266048431396
01/07/2019,260.9953,0.14371872,2.1532788276672363
01/08/2019,261.37665,0.14611483,2.094343423843384
01/09/2019,261.7059,0.12596846,2.0304512977600098
01/10/2019,262.15744,0.1725316,2.034308671951294
01/11/2019,262.61542,0.17470121,2.043827533721924
01/12/2019,262.98395,0.14033318,2.053048610687256
01/01/2020,263.54858,0.21470785,2.18888521194458
01/02/2020,263.91107,0.13754368,2.152122735977173
01/03/2020,264.2914,0.14411211,2.041748046875
01/04/2020,264.60968,0.120425224,1.9600586891174316
01/05/2020,265.08017,0.17780066,1.9349511861801147
01/06/2020,265.48727,0.15357733,1.8672899007797241
01/07/2020,265.93652,0.16921759,1.8932173252105713
01/08/2020,266.42828,0.18491745,1.9327056407928467
01/09/2020,266.94043,0.19222498,2.0001537799835205
01/10/2020,267.4171,0.17857552,2.006302833557129
01/11/2020,268.1043,0.25697947,2.090088129043579
01/12/2020,268.5541,0.16777515,2.1180624961853027
01/01/2021,269.3257,0.28731823,2.19205379486084
01/02/2021,270.15887,0.3093481,2.367389678955078
01/03/2021,271.0735,0.33854246,2.5661351680755615
01/04/2021,271.59314,0.19170046,2.639153003692627
01/05/2021,272.21133,0.22761822,2.690199613571167
01/06/2021,272.61356,0.14775991,2.684225082397461
01/07/2021,273.23465,0.2278328,2.744316339492798
01/08/2021,274.20456,0.3549695,2.9187073707580566
01/09/2021,274.96225,0.27632713,3.005103588104248
01/10/2021,276.02063,0.38491488,3.2172694206237793
01/11/2021,277.53992,0.55042505,3.5193748474121094
01/12/2021,278.93198,0.5015731,3.8643503189086914
01/01/2022,280.23032,0.4654646,4.048847675323486
01/02/2022,281.96597,0.6193638,4.370426177978516
01/03/2022,284.83328,1.0169029,5.076037406921387
01/04/2022,287.1143,0.80082417,5.714856147766113
01/05/2022,289.51248,0.83527565,6.355771064758301
01/06/2022,292.2964,0.9615779,7.220053672790527
01/07/2022,294.65604,0.8072853,7.839921951293945
